Symbol,Name,Price(usd),Change,Volume_M,Market Cap,PE Ratio,Price_usd,PE_Ratio
EA,Electronic Arts Inc.,193.35,25.03,14.446,48.378B,48.34,193.35,48.34
TTWO,Opendoor Technologies Inc.,8.81,-0.28,165.465,6.538B,--,8.81,
SNAP,Snap Inc.,8.27,-0.06,154.769,13.975B,--,8.27,
NVDA,NVIDIA Corporation,178.19,0.5,148.071,4.338T,50.77,178.19,50.77
F,Ford Motor Company,12.01,0.39,114.052,47.798B,15.4,12.01,15.4
DNN,Denison Mines Corp.,2.77,-0.09,113.228,2.489B,--,2.77,
RGTI,"Rigetti Computing, Inc.",31.18,-0.92,99.614,10.107B,--,31.18,
TSLA,"Tesla, Inc.",440.4,17.01,100.135,1.464T,263.71,440.4,263.71
PLUG,Plug Power Inc.,2.37,0.01,95.031,2.76B,--,2.37,
CIFR,Cipher Mining Inc.,11.47,-0.17,94.155,4.511B,--,11.47,
NIO,NIO Inc.,7.04,-0.43,81.243,17.92B,--,7.04,
AAL,American Airlines Group Inc.,11.31,-0.08,82.297,7.463B,13.46,11.31,13.46
RIG,Transocean Ltd.,3.19,0.03,71.813,3.512B,--,3.19,
BBAI,"BigBear.ai Holdings, Inc.",6.73,-0.41,68.778,2.495B,--,6.73,
PSLV,Sprott Physical Silver Trust,15.54,0.42,67.37,8.623B,6.82,15.54,6.82
IREN,IREN Limited,41.86,-4.43,58.917,11.385B,107.33,41.86,107.33
QBTS,D-Wave Quantum Inc.,26.76,0.42,60.444,9.152B,--,26.76,
VALE,Vale S.A.,10.7,-0.19,58.064,46.595B,8.77,10.7,8.77
BTG,B2Gold Corp.,4.92,0.07,57.892,6.509B,--,4.92,
QUBT,Quantum Computing Inc.,20.15,-0.43,54.683,3.762B,--,20.15,
MARA,"MARA Holdings, Inc.",16.13,0.06,51.733,5.975B,8.67,16.13,8.67
NU,Nu Holdings Ltd.,15.78,0,48.306,76.255B,33.57,15.78,33.57
RIOT,"Riot Platforms, Inc.",17.69,0.95,48.43,6.539B,--,17.69,
KVUE,Kenvue Inc.,16.42,0.25,46.666,31.511B,21.89,16.42,21.89
SOUN,"SoundHound AI, Inc.",15.94,-0.41,44.153,6.499B,--,15.94,
BBD,Banco Bradesco S.A.,3.3,0.03,43.467,32.305B,9.43,3.3,9.43
BMNR,"Bitmine Immersion Technologies, Inc.",50.5,0.93,40.328,14.116B,--,50.5,
PLTR,Palantir Technologies Inc.,177.57,-1.55,43.153,421.257B,591.9,177.57,591.9
WBD,"Warner Bros. Discovery, Inc.",19.51,-0.27,41.951,48.302B,62.94,19.51,62.94
RXRX,"Recursion Pharmaceuticals, Inc.",4.72,0.09,39.214,2.061B,--,4.72,
AAPL,Apple Inc.,255.46,-1.41,45.566,3.791T,38.76,255.46,38.76
RIVN,"Rivian Automotive, Inc.",15.59,-0.15,36.71,18.917B,--,15.59,
ONDS,Ondas Holdings Inc.,7.66,-0.09,36.405,2.504B,--,7.66,
GRAB,Grab Holdings Limited,6.11,-0.14,38.207,24.908B,305.5,6.11,305.5
